Date Of Sleep,Local Time Offset,Sleep Score,BedTime,Sleep Start Time,Wake Up Time,Get Up Time,Total In Bed Duration (hrs),Total Sleep Duration (hrs)
01/01/2021,-5,83.70572442,2021-01-01T05:38:13.000Z,2021-01-01T05:38:13.000Z,2021-01-01T12:41:13.000Z,2021-01-01T13:00:13.000Z,7.361,6.639
02/01/2021,-5,88.06961288,2021-01-02T03:18:27.000Z,2021-01-02T03:18:27.000Z,2021-01-02T12:34:27.000Z,2021-01-02T12:39:57.000Z,9.361,8.222
03/01/2021,-5,88.4456952,2021-01-03T04:15:52.000Z,2021-01-03T04:21:22.000Z,2021-01-03T12:09:52.000Z,2021-01-03T12:20:52.000Z,8.083,7.306
04/01/2021,-5,92.1701368,2021-01-04T02:48:34.000Z,2021-01-04T02:53:34.000Z,2021-01-04T11:55:04.000Z,2021-01-04T12:10:04.000Z,9.361,8.556
05/01/2021,-5,86.6228951,2021-01-05T03:48:14.000Z,2021-01-05T04:08:44.000Z,2021-01-05T11:28:14.000Z,2021-01-05T11:37:44.000Z,7.833,6.944
06/01/2021,-5,80.30241943,2021-01-06T03:39:31.000Z,2021-01-06T03:47:01.000Z,2021-01-06T10:14:01.000Z,2021-01-06T10:32:31.000Z,6.889,6.194
07/01/2021,-5,86.54464286,2021-01-07T04:31:12.000Z,2021-01-07T04:33:42.000Z,2021-01-07T11:38:42.000Z,2021-01-07T11:42:12.000Z,7.194,6.889
08/01/2021,-5,74.81740192,2021-01-08T04:24:28.000Z,2021-01-08T04:33:28.000Z,2021-01-08T11:52:58.000Z,2021-01-08T12:00:58.000Z,7.611,6.444
09/01/2021,-5,89.75555382,2021-01-09T03:50:14.000Z,2021-01-09T03:57:44.000Z,2021-01-09T11:28:14.000Z,2021-01-09T11:28:44.000Z,7.639,7.250
10/01/2021,-5,89.65634995,2021-01-10T03:53:13.000Z,2021-01-10T04:02:13.000Z,2021-01-10T12:46:13.000Z,2021-01-10T12:55:43.000Z,9.056,8.111
11/01/2021,-5,78.21068554,2021-01-11T03:21:16.000Z,2021-01-11T03:28:16.000Z,2021-01-11T10:25:46.000Z,2021-01-11T11:29:46.000Z,8.139,6.389
12/01/2021,-5,87.6318149,2021-01-12T03:27:16.000Z,2021-01-12T03:27:16.000Z,2021-01-12T11:08:16.000Z,2021-01-12T11:08:16.000Z,7.694,7.194
13/01/2021,-5,79.79511403,2021-01-13T03:33:53.000Z,2021-01-13T03:35:53.000Z,2021-01-13T11:04:53.000Z,2021-01-13T11:13:53.000Z,7.667,6.722
14/01/2021,-5,78.40317739,2021-01-14T03:26:52.000Z,2021-01-14T03:29:52.000Z,2021-01-14T11:45:22.000Z,2021-01-14T11:55:22.000Z,8.472,7.056
15/01/2021,-5,83.15780846,2021-01-15T03:19:20.000Z,2021-01-15T03:19:20.000Z,2021-01-15T11:15:20.000Z,2021-01-15T11:35:50.000Z,8.278,6.417
16/01/2021,-5,84.7304147,2021-01-16T03:19:07.000Z,2021-01-16T03:21:07.000Z,2021-01-16T12:18:37.000Z,2021-01-16T12:22:07.000Z,9.056,7.861
17/01/2021,-5,93.23485518,2021-01-17T03:32:59.000Z,2021-01-17T03:42:59.000Z,2021-01-17T12:23:29.000Z,2021-01-17T12:39:29.000Z,9.111,8.250
18/01/2021,-5,83.98126414,2021-01-18T03:10:14.000Z,2021-01-18T03:14:14.000Z,2021-01-18T11:03:44.000Z,2021-01-18T11:03:44.000Z,7.889,7.250
19/01/2021,-5,94.12738095,2021-01-19T02:10:56.000Z,2021-01-19T02:10:56.000Z,2021-01-19T10:57:56.000Z,2021-01-19T10:58:56.000Z,8.806,8.472
20/01/2021,-5,85.0596227,2021-01-20T02:53:18.000Z,2021-01-20T02:56:48.000Z,2021-01-20T10:48:48.000Z,2021-01-20T10:53:48.000Z,8.000,7.278
21/01/2021,-5,92.39047619,2021-01-21T02:37:30.000Z,2021-01-21T02:48:00.000Z,2021-01-21T10:45:30.000Z,2021-01-21T10:45:30.000Z,8.139,7.750
22/01/2021,-5,84.14186508,2021-01-22T03:47:04.000Z,2021-01-22T03:47:04.000Z,2021-01-22T10:45:04.000Z,2021-01-22T10:50:04.000Z,7.056,6.722
23/01/2021,-5,93.30204797,2021-01-23T03:24:00.000Z,2021-01-23T03:35:30.000Z,2021-01-23T11:35:00.000Z,2021-01-23T11:46:30.000Z,8.389,7.750
24/01/2021,-5,89.21486183,2021-01-24T03:14:47.000Z,2021-01-24T03:21:47.000Z,2021-01-24T11:48:17.000Z,2021-01-24T12:02:47.000Z,8.806,7.944
25/01/2021,-5,90.10539683,2021-01-25T03:05:30.000Z,2021-01-25T03:16:00.000Z,2021-01-25T11:25:30.000Z,2021-01-25T11:55:30.000Z,8.833,7.750
26/01/2021,-5,63.54774115,2021-01-26T03:40:51.000Z,2021-01-26T03:40:51.000Z,2021-01-26T10:30:21.000Z,2021-01-26T10:30:21.000Z,6.833,5.639
27/01/2021,-5,88.30880935,2021-01-27T03:31:47.000Z,2021-01-27T03:36:47.000Z,2021-01-27T11:20:17.000Z,2021-01-27T11:28:47.000Z,7.944,7.361
28/01/2021,-5,85.99436253,2021-01-28T03:28:47.000Z,2021-01-28T03:42:17.000Z,2021-01-28T10:44:47.000Z,2021-01-28T10:47:17.000Z,7.306,6.833
29/01/2021,-5,88.51322325,2021-01-29T03:47:40.000Z,2021-01-29T03:47:40.000Z,2021-01-29T12:03:40.000Z,2021-01-29T12:06:10.000Z,8.306,7.639
30/01/2021,-5,85.31488095,2021-01-30T04:39:49.000Z,2021-01-30T04:41:19.000Z,2021-01-30T11:42:19.000Z,2021-01-30T11:52:19.000Z,7.222,6.750
31/01/2021,-5,78.10358835,2021-01-31T03:10:18.000Z,2021-01-31T03:10:18.000Z,2021-01-31T10:12:18.000Z,2021-01-31T10:12:18.000Z,7.028,6.417
01/02/2021,-5,65.95964384,2021-02-01T02:45:36.000Z,2021-02-01T02:47:06.000Z,2021-02-01T08:50:06.000Z,2021-02-01T10:34:06.000Z,7.806,5.472
02/02/2021,-5,82.79774115,2021-02-02T03:20:41.000Z,2021-02-02T03:27:41.000Z,2021-02-02T11:08:41.000Z,2021-02-02T11:34:11.000Z,8.222,7.028
03/02/2021,-5,91.03547029,2021-02-03T02:16:06.000Z,2021-02-03T02:16:06.000Z,2021-02-03T11:00:36.000Z,2021-02-03T11:35:36.000Z,9.333,8.083
04/02/2021,-5,71.12479417,2021-02-04T03:17:03.000Z,2021-02-04T03:20:33.000Z,2021-02-04T11:18:33.000Z,2021-02-04T11:45:33.000Z,8.472,6.667
05/02/2021,-5,84.43914491,2021-02-05T03:12:47.000Z,2021-02-05T03:14:47.000Z,2021-02-05T10:57:47.000Z,2021-02-05T10:57:47.000Z,7.750,7.167
06/02/2021,-5,78.3587248,2021-02-06T03:39:15.000Z,2021-02-06T03:44:45.000Z,2021-02-06T11:03:15.000Z,2021-02-06T11:05:15.000Z,7.444,6.639
07/02/2021,-5,76.70264032,2021-02-07T04:09:17.000Z,2021-02-07T04:14:17.000Z,2021-02-07T12:07:47.000Z,2021-02-07T12:15:17.000Z,8.111,6.833
08/02/2021,-5,89.8281746,2021-02-08T03:07:37.000Z,2021-02-08T03:14:07.000Z,2021-02-08T10:40:07.000Z,2021-02-08T10:40:07.000Z,7.556,7.222
10/02/2021,-5,85.87843656,2021-02-10T02:14:15.000Z,2021-02-10T02:15:45.000Z,2021-02-10T10:44:45.000Z,2021-02-10T10:48:45.000Z,8.583,7.778
11/02/2021,-5,88.16230159,2021-02-11T02:56:44.000Z,2021-02-11T03:00:14.000Z,2021-02-11T10:22:44.000Z,2021-02-11T10:34:14.000Z,7.639,7.083
12/02/2021,-5,89.2477709,2021-02-12T02:44:36.000Z,2021-02-12T02:49:36.000Z,2021-02-12T10:37:36.000Z,2021-02-12T10:40:06.000Z,7.917,7.389
13/02/2021,-5,90.42936508,2021-02-13T03:20:30.000Z,2021-02-13T03:24:00.000Z,2021-02-13T11:02:30.000Z,2021-02-13T11:17:00.000Z,7.944,7.389
14/02/2021,-5,96.73199222,2021-02-14T02:44:16.000Z,2021-02-14T02:57:46.000Z,2021-02-14T11:33:16.000Z,2021-02-14T11:33:16.000Z,8.806,8.389
15/02/2021,-5,97.57839974,2021-02-15T01:48:39.000Z,2021-02-15T01:54:09.000Z,2021-02-15T11:29:09.000Z,2021-02-15T11:34:39.000Z,9.778,8.333
17/02/2021,-5,81.57303909,2021-02-17T02:42:18.000Z,2021-02-17T02:46:18.000Z,2021-02-17T11:40:48.000Z,2021-02-17T11:52:18.000Z,9.167,7.806
20/02/2021,-5,89.17865595,2021-02-20T03:14:35.000Z,2021-02-20T03:21:35.000Z,2021-02-20T11:27:35.000Z,2021-02-20T11:47:35.000Z,8.556,7.583
